Dist.Code,Sh_Dist_code,FID_1,State,AgroClimate,District,Year,RICE.AREA..1000.ha.,RICE.PRODUCTION..1000.tons.,RICE.YIELD..Kg.per.ha.,RICE.SHARE.IN.TOTAL..Percent.,Crops,IMD_RF,IMD_Tmax,SD_RF_jun_nov
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1990,173.0,441.0,2549.0,37.04,Rice,671.0373637,31.28552119,9.088041464
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1991,175.0,468.0,2674.0,37.39,Rice,565.6601563,32.661726,8.34195741
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1992,182.0,474.0,2604.0,37.3,Rice,693.3383077,32.42999427,9.859081745
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1993,185.0,492.0,2659.0,38.54,Rice,863.3996175,32.78001785,18.64727068
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1994,190.0,511.0,2689.0,38.7,Rice,831.1182048,31.16572793,13.82500792
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1995,191.0,472.0,2471.0,37.75,Rice,1203.892721,33.34756947,18.37001212
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1996,186.0,513.0,2758.0,37.8,Rice,809.0320231,31.85533015,10.35350863
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1997,182.0,512.0,2813.0,38.72,Rice,828.6647949,31.12118816,11.89152543
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1998,187.0,521.0,2786.0,38.8,Rice,815.2450663,32.10257721,10.7964174
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,1999,198.0,561.0,2833.0,40.16,Rice,562.7569733,31.81980133,9.231366555
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2000,191.0,569.0,2979.0,38.74,Rice,614.0741475,33.2194713,7.614859819
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2001,194.0,571.0,2943.0,38.8,Rice,784.9847412,32.20153046,11.36652946
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2002,189.0,547.0,2894.0,39.21,Rice,370.8081462,33.11014334,6.323831797
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2003,193.0,587.0,3041.0,38.76,Rice,588.3390299,32.12897333,7.967210531
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2004,202.0,641.0,3173.0,39.3,Rice,457.0609487,32.46731504,8.27640295
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2005,190.0,590.0,3105.0,38.15,Rice,534.768041,32.87343025,8.060100079
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2006,201.0,636.0,3164.0,39.26,Rice,816.2816772,31.61758804,10.88101037
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2007,191.0,617.0,3230.0,37.9,Rice,759.5871073,32.69706059,10.16871564
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2008,201.0,663.0,3299.0,39.72,Rice,1027.510478,32.13616149,12.33576695
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2009,204.0,640.0,3137.0,40.23,Rice,588.4799449,32.79583772,12.59598374
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2010,204.0,705.0,3456.0,40.56,Rice,556.6623535,32.69627444,9.070703109
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2011,174.39,649.0,1861.0,20.96,Rice,933.0544128,32.30687428,13.21336945
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2012,201.0,618.0,2965.0,35.71,Rice,802.569814,32.18324375,12.43522008
165,20001,296,PUNJAB,Trans Gangetic Plains Region,Gurdaspur,2013,202.0,585.0,2810.5,33.44,Rice,868.584137,30.94153055,13.1388336
