Crop,District/Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Wheat,Gurdaspur,185,184,184,187,184,184,201,226,230,231,231,229,227,227,219,206,217,217,213,214,195,205,213,219,218,211,201,206,203,197,199,201,196,198,196,191,186,182,186,186,169,180,176,144,147,152,141,141,164,127,123
Wheat,Pathankot,41,41,41,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Amritsar,189,188,188,188,188,188,190,189,185,187,184,185,185,372,358,356,363,361,358,354,349,335,341,352,356,352,353,355,350,333,328,338,331,322,322,313,303,298,296,284,274,271,255,246,246,248,228,242,226,214,177
Wheat,Tarn Taran,186,185,186,188,183,182,185,186,186,180,185,183,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Kapurthala,108,106,110,110,111,110,110,108,111,111,111,109,111,115,112,112,114,111,111,108,102,104,116,113,118,113,111,113,111,109,109,107,109,108,106,102,101,96,98,92,93,90,79,73,73,67,67,67,68,61,57
Wheat,Jalandhar,170,167,171,167,169,169,171,169,170,171,167,165,170,171,169,167,167,167,163,161,157,150,200,226,225,209,211,219,221,215,222,221,224,23,225,222,216,211,218,214,210,213,203,200,201,194,194,180,170,166,151
Wheat,SBS Nagar,77,76,78,76,75,80,75,74,74,76,72,72,72,76,75,68,71,70,67,62,57,58,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Hoshiarpur,143,147,145,150,148,149,154,154,153,154,145,142,145,145,146,137,139,142,144,140,135,131,131,152,157,156,155,163,163,163,167,170,163,165,168,173,163,156,156,148,145,148,145,141,147,155,152,131,126,122,113
Wheat,Rupnagar,67,68,64,66,67,63,64,65,65,64,62,57,59,89,87,86,88,86,87,86,83,82,84,84,84,83,83,82,82,78,75,76,73,73,77,75,76,72,70,67,63,63,62,62,63,61,61,61,55,53,48
Wheat,SAS Nagar,50,50,50,50,51,53,52,53,53,49,48,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Ludhiana,252,250,251,253,254,255,257,257,259,259,258,257,257,258,257,254,257,258,259,257,257,254,258,262,266,263,266,269,267,261,260,268,267,268,271,267,265,265,263,260,256,258,247,234,241,253,247,238,230,213,171
Wheat,Ferozepur,187,184,188,188,189,185,394,297,395,395,395,389,386,386,383,369,383,378,374,413,422,402,390,400,404,398,390,400,401,384,379,390,382,383,386,371,349,332,324,324,304,300,289,235,242,249,420,427,394,394,357
Wheat,Fazilka,210,207,209,206,211,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Faridkot,116,117,116,116,116,117,117,117,117,118,117,117,116,114,114,112,111,111,112,111,109,106,104,393,396,357,389,394,390,386,382,392,380,383,380,369,348,334,332,319,304,307,266,231,257,268,,,,,
Wheat,Sri Muktsar Sahib,211,213,209,208,209,209,206,192,205,202,202,202,200,190,198,192,194,189,187,175,176,167,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Moga,175,174,175,175,176,176,176,177,177,177,175,175,174,173,171,170,167,172,170,124,124,127,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Bathinda,254,252,253,254,254,254,252,253,251,249,247,245,243,241,242,239,243,243,242,178,236,231,226,221,220,217,351,348,343,329,319,325,303,296,309,295,263,248,244,233,226,218,191,155,191,216,277,283,280,260,221
Wheat,Mansa,172,171,170,166,170,171,170,170,170,171,169,165,163,167,166,163,166,163,157,159,157,153,154,154,152,151,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Sangrur,288,286,286,284,285,285,287,287,287,285,283,281,396,397,396,394,392,393,394,393,401,392,375,391,391,417,390,392,385,381,377,377,370,366,369,359,342,331,331,323,306,308,282,258,280,290,297,274,274,261,216
Wheat,Barnala,114,114,114,114,114,114,115,115,114,114,112,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Patiala,232,231,234,233,232,234,237,236,235,242,240,244,246,266,266,265,265,261,264,258,253,251,251,261,263,268,337,330,300,321,314,320,314,309,314,314,301,286,295,288,270,274,254,227,250,251,242,255,204,192,156
Wheat,Fatehgarh Sahib,85,84,84,84,84,84,85,85,85,85,85,85,84,85,85,85,85,86,86,85,88,84,84,84,84,88,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Punjab,3512,3495,3506,3505,3512,3512,3498,3410,3522,3520,3488,3467,3468,3472,3444,3375,3422,3408,3388,3278,3301,3232,3287,3312,3334,3283,3237,3271,3216,3157,3131,3185,3112,2894,3123,3051,2913,2811,2813,2738,2620,2630,2449,2206,2338,2404,2326,2299,2191,2063,1790
Potato,Gurdaspur,0.8,0.8,0.2,0.7,0.7,0.7,1,0.3,1.1,0.3,0.2,0.3,0.2,0.3,0.4,0.5,0.2,0.3,0.6,0.4,0.9,1,0.5,0.5,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.2,0.3,0.8,0.5,0.6,1.4,0.7,0.5,0.6,0.7,0.8,0.6,0.6,0.3,0.6,0.2,0.5
Potato,Pathankot,0.01,0.01,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Amritsar,7.9,7.9,3.5,6.8,6.6,5.2,5,3.7,5,3.1,2.6,2.6,1,2.8,2.8,3.3,3.7,3.4,3.3,2.8,2.6,5,1.4,1.1,0.7,0.6,0.6,0.6,1,1.1,1.6,1,1,1.4,0.7,1.2,1.8,1.8,1.7,0.4,1.4,1,1.5,1.2,1.3,0.9,0.7,0.7,0.6,0.8,0.8
Potato,Tarn Taran,1.8,1.8,1.8,1.7,1.7,1.1,1,0.8,0.8,0.4,0.6,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Kapurthala,9.7,9.7,11,9,9,9,8.8,13.1,7.2,13.2,15.5,14.6,12,8.4,7.8,8.5,8.5,7.2,9.7,10,3.7,2.1,5.3,4.4,0.6,3.2,1.8,1.8,2.1,2,2.2,1.6,1.2,1.3,0.4,0.8,0.6,1.8,1.3,1.5,0.7,0.7,0.6,0.7,0.7,0.5,0.5,0.5,0.5,0.6,0.7
Potato,Jalandhar,21.6,21.6,24.2,20.4,20,20.1,19.6,5,19.5,21.4,20.4,17.4,21.4,18.4,17.1,16.8,12.7,14.8,21.3,22,1.62,6.3,9.3,9.5,7.7,12.4,12.3,9.9,8.8,10.5,12.1,10.1,13.1,14.6,12.2,12.3,14.3,16.6,17.9,22.6,15.6,12.9,9.2,9.9,8.2,6.6,6.7,5.4,4.6,5.7,5.3
Potato,SBS Nagar,2.6,2.6,1,2.4,2,2.2,2.3,2.9,2.2,3.1,2.4,2.3,2,1.9,1.5,1.6,1,1.1,1.1,1.5,1.8,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Hoshiarpur,13.8,13.8,2.3,12.6,12,16.1,16.8,2.3,16.8,6.8,6.9,7.6,8.1,7.7,7.8,8,8,13.3,9.4,11.4,12,8.3,5.4,4.8,3.6,4.1,7,6,7.6,7.7,9,8.3,20.5,8.8,9.3,8.8,9.7,9.8,13,17.3,10.8,8.4,8.3,8.6,5.7,5.1,4.2,5.3,5.9,4,4.5
Potato,Rupnagar,0.9,0.9,0.3,0.8,0.8,0.9,0.9,0.3,0.9,0.3,0.4,,0.5,1,1.2,1,0.9,0.9,1.2,1.3,0.6,2,0.9,0.9,1,1,1.2,0.7,0.7,1.3,1.3,1.5,1.5,1.7,1.9,1.6,1.8,2,1.6,2.5,2.7,2.2,1.3,2,1.4,1.3,1,1.9,1.8,2.5,2.6
Potato,SAS Nagar,1.3,1.3,2.2,1.2,1.2,1.2,1.3,1.4,1.3,2.1,2.1,0.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Ludhiana,12.7,12.7,18.9,10,9,6,5.5,14.4,5.4,7.9,10.8,8,7.8,7.9,7.7,7.6,6.3,5.8,7.1,8.7,5.7,5.4,2.8,3.2,1.1,2,2.4,1.1,1.4,3.5,2.9,2.1,1.6,1.7,1.7,1.2,2,2.8,1.1,2.8,1.8,1.1,1.5,2.2,2.1,1.3,0.8,1,0.9,0.9,0.7
Potato,Ferozepur,0.5,0.5,2.2,0.5,0.7,0.9,0.9,1,1,1.1,1.1,0.6,0.8,0.5,0.5,0.3,0.5,0.4,1,0.8,0.7,1,0.3,0.2,0.2,0.2,0.2,0.1,0.3,0.5,0.6,0.4,0.6,0.7,0.5,0.5,0.5,0.5,0.2,0.8,0.6,0.5,0.5,0.7,0.7,0.6,0.9,0.9,0.7,0.5,0.4
Potato,Fazilka,0.09,0.09,0.1,,0,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Faridkot,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.2,0.3,0.5,0.3,0.3,0.2,0.4,0.3,0.1,,0.1,,1.8,1.2,1.2,0.8,0.5,0.6,0.8,0.9,0.8,0.9,0.8,0.7,0.6,0.9,0.7,0.5,0.8,0.5,0.4,0.4,0.4,0.4,0.3,,,,,
Potato,Sri Muktsar Sahib,0.2,0.2,0.2,0.1,0.1,0.1,0.1,,0.2,0.1,0.2,0.1,0.1,0.1,0.1,,0.1,0.1,0.2,0.1,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Moga,6.8,6.8,5.3,6,6,5.8,5.8,3.6,5.7,4.5,6,4.6,,5.4,5.4,5.8,4.9,5.5,7.2,7.1,1.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Bathinda,5.8,5.8,5.7,5,5,5.2,5.3,5.5,6.1,6.6,8.3,7.2,7.2,4.8,4.8,4.8,3.5,3.5,4.2,4.2,0.4,2.4,1.2,0.9,0.6,0.5,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.2,0.2,0.5,0.4,0.4,0.5,0.3,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Potato,Mansa,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0.1,0.3,0.2,0.1,0.2,0.3,0.3,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Sangrur,0.8,0.8,1,0.6,0.5,0.5,0.4,0.6,0.3,0.8,0.8,0.8,2.1,1.7,2,1.9,1.4,1.3,2.2,2,0.9,0.5,0.8,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.5,0.4,0.3,0.3,0.5,0.4,0.3,0.2,0.2,0.1,0.2,0.1
Potato,Barnala,0.1,0.1,1.5,1.7,1.6,1.1,1.1,1.1,1,1.2,1.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Patiala,4.7,4.7,4.8,4,4,4.2,3.7,4,4.2,4.7,5.7,3.7,3.5,4.8,5.4,5.7,4.3,5,5.3,6.4,3.7,5,3.9,4,3.1,2.7,1.9,1.9,2.6,2.7,2.2,2,2.2,2.4,1.8,1.9,2.5,2.6,2,2.3,1.8,1.2,1.2,1.8,1.2,0.1,0.8,0.6,0.5,0.8,1.1
Potato,Fatehgarh Sahib,4.7,4.7,4.3,4.4,4,4.1,4.2,4.4,3.9,4,3.1,3,2,1.5,1.3,1.1,0.6,0.6,1.1,1.2,1.1,1,0.3,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Punjab,97.2,97.2,91.7,88.2,85.2,84.8,84.1,64.8,83.1,82.1,90,75.6,70.8,67.8,66.4,67.4,56.9,63.8,75.5,80.3,37.52,46.6,34.2,31.8,20.3,28.5,29,23.3,25.8,30.9,33.4,28.3,43.2,34.4,29.8,29.6,35.6,39.8,40.6,53.4,37.3,29.4,25.6,29,23.1,18.8,16.5,16.9,16.3,16.3,16.8
Bajra,Gurdaspur,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9,0.3,0.7,1,0.4,2.3,2.3,3.9,3.1,2.9,2.9,1.6
Bajra,Pathankot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra,Amritsar,,,,,,,1,,,1,,,,,,,0.2,,0.3,0.2,1,,0.2,0.1,1.4,1.4,1,0.5,0.4,0.8,0.5,1.4,0.7,0.7,0.9,0.6,0.9,0.9,1.3,1.4,1.7,2.7,7.4,7,7.3,5.3,5.3,6.1,11.8,6.6,8
Bajra,Tarn Taran,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra,Kapurthala,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.2,,,8,,,,0.1,,,,,,2.4
Bajra,Jalandhar,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.5,,,,,,,,,,,0.1,0.1,0.1,,0.3,0.2,0.5,0.4,0.3,0.5,0.1,0.5,0.2,0.5,0.4,1
Bajra,SBS Nagar,,,,,,,,,,,,,,,,,,,0.2,0.4,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra,Hoshiarpur,,,,,,,,,,,,,,,,,,,,,4,,0.1,0.8,0.6,0.6,0.4,0.6,0.5,0.3,,,,0.5,,,0.6,0.8,0.4,0.8,1.2,1.5,0.8,0.5,1.2,0.4,0.7,1.2,2.4,2.9,4
Bajra,Rupnagar,,,,,,,,,,,,,,1,1.2,1.3,0.8,,,,,0.5,0.1,0.1,,,,,,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.2,0.3,0.3,0.9,0.1,0.1,0.6,0.4,0.2,0.1,,0.2,0.3,0.3,
Bajra,SAS Nagar,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
