crop,district,soil_type,nitrogen,phosphorus,potassium,rainfall,temperature,suitability_score,recommended,expected_yield
potato,Sangrur,red,86.68695797323277,121.35983003546,131.46452685090279,945.8327528535912,21.499623737270042,0.7488599710935916,1,3191.054728476515
bajra,Bathinda,alluvial,61.282315805420055,113.85984039468721,189.55396053267754,500.7787658410143,34.88317338936826,1.0,1,4802.8786300146285
rice,Ludhiana,clayey,154.95128632644756,76.15285242347505,79.50895383366712,1111.8528947223795,22.09240790978063,1.0,1,4636.790369791515
wheat,Muktsar,alluvial,89.93475643167194,86.8504769937695,130.7104767065472,546.4504127199978,29.113172778521577,0.8887277936584491,1,3989.9896940996796
rice,Hoshiarpur,clayey,239.77710745066665,145.5321642996927,167.4275491797984,804.6137691733707,21.46508171009576,1.0,1,4759.317355108242
potato,Ludhiana,red,216.63898234723285,42.53740495601037,96.48030328745094,682.2360877880624,31.330421154764785,0.6588966894485125,0,4376.4980315976245
wheat,Fazilka,alluvial,159.34205586865593,44.03107921831852,194.82938671997496,1275.1328233611146,34.09248412346284,0.8763384724681834,1,4592.809216294279
bajra,Muktsar,alluvial,89.19657248382904,25.87954755836995,85.30615622975493,888.677289689482,24.07023547660844,0.9542171950929994,1,5169.573195951441
rice,Mansa,loamy,109.25470114081648,41.484702078190324,32.65818914600297,923.4014807063696,25.923222772633547,0.6850321555205435,0,3994.650665420242
potato,Amritsar,sandy,64.80893034681807,66.60054471075544,49.697740119272055,1363.1034258755935,29.34947190241337,0.4401097594474517,0,2397.750770357835
wheat,Amritsar,alluvial,115.03666440534941,114.84880318394833,138.38477013038624,1387.2127425763265,27.08322387742924,0.9507078133465418,1,4947.485663405221
rice,Fatehgarh Sahib,clayey,97.19698394979115,53.28888195897211,36.87371022153333,1210.6628896857874,21.66336231217747,0.7395738685296797,1,3700.247572276669
bajra,Mansa,sandy,56.28583713734685,102.73335346429145,83.44051678297554,1008.5706911647028,33.613497108891394,0.9793657618741491,1,4703.696466027195
potato,Faridkot,red,65.3959819657586,57.667688878789846,57.40761883318075,1429.697652342573,32.12180569346626,0.42613725016537446,0,2106.5274523357634
rice,Shahid Bhagat Singh Nagar,alluvial,141.30691409658203,48.39725683818837,100.80669113796226,1383.2802589188684,24.86517531507911,0.8971297944675637,1,4457.469104559053
wheat,Amritsar,loamy,95.58703250838833,75.52401252141333,169.06251020682382,1360.7305832563434,20.10428195796786,0.9026840308849094,1,4266.096901840307
bajra,Hoshiarpur,alluvial,94.42156209414605,35.58249775337877,87.39457913861675,1442.9097039125193,24.848043980311328,1.0,1,5754.474360484212
rice,Patiala,clayey,242.48945898842226,52.73169845729734,114.53224600170553,800.8783098167696,24.272607415662016,0.9177699926537969,1,4740.911095747922
rice,Patiala,clayey,150.5358046457723,26.692237662498616,77.36989892022395,1408.2658859666537,23.593428360004587,0.7937725602976125,1,4161.205533308352
bajra,Fazilka,black,66.17066526654305,68.05507928798258,71.1671895071624,1303.139756379896,27.054509516690576,1.0,1,4532.5287849521865
wheat,Fazilka,alluvial,157.1549368149517,31.73767010707308,172.00142425017046,820.7800649717358,22.797777655997812,0.8177984290813004,1,4311.054262360258
potato,Faridkot,sandy,192.22990648760356,125.235135998163,89.273217839594,596.1765510914207,34.10784896734406,0.8367108911230362,1,4145.453302845665
bajra,Ferozepur,clayey,217.5420211814656,107.8397152151065,154.98674027093125,709.0716207377137,28.12171960741349,1.0,1,4588.915654364604
bajra,Pathankot,loamy,153.32717825420286,53.90779272795317,199.36312895884714,1465.4193512887937,28.374401804106462,1.0,1,5296.496254018087
